"Title","Type","Availability","MSRP Currency","MSRP","Show Price Currency","Show Price","Publisher","Location","Priority","Notes","Thumbs","BGGId","BGGVersionId","Mfg Product Code","Release Date","Override Release Date","Events"
"Song of Silveranth","Standalone","Demo","N/A","N/A","N/A","N/A","Red Raven Games","230",2,"",59,"451428","767811","","0000-00-00","Q2 2027",""
"dnup","Standalone","For Sale","N/A","N/A","N/A","N/A","asmodee","Asmodee booth #1109",1,"Designer of Scout. Looks similar to Panda Spin.",106,"432456","792708","","2026-05-28","",""
"Diables","Standalone","Demo","USD",80,"N/A","N/A","Salt & Pepper Games","2666",2,"Barcelona designer... will it be good this time?",216,"469504","799306","","0000-00-00","",""
"Entropy","Standalone","For Sale","USD",65,"USD",65,"Board&Dice","2527",2,"By the designer of Barrage. Looks crunchy.",765,"462941","787933","","0000-00-00","",""
"Cozy Stickerville","Standalone","For Sale","USD",39.99,"USD",39.99,"Unexpected Games","Asmodee Booth 817",1,"New game by Corey Konieczka",123,"456440","777006","UGCSV0101","2026-02-06","",""
"Gunsen: The Battle for Toshi Ranbo","Standalone","Demo","N/A","N/A","N/A","N/A","Office Dog","Asmodee Booth 1109",2,"Designer of Search for Planet X, Fromage",28,"449018","763407","ODGTBF0101EN","2026-08-28","",""
"Ronin","Standalone","For Sale","USD",60,"USD",60,"Queen Games","2841 (Luma Imports Booth)",1,"",17,"443707","754484","","2025-10-00","",""
"Compile: Main 3","Standalone","For Sale","USD",25,"USD",25,"Synapses Games","Luma Imports: 2841",2,"",75,"469090","798651","COMP-MN03","0000-00-00","Q3 2026",""
"Crime Scene Tamperer","Standalone","For Sale","USD",19.95,"USD",19.95,"Greater Than Games, LLC","2856",2,"",28,"473060","805230","CRIM-CORE","2026-08-15","",""
"The Secrets of Warden Keene","Standalone","Demo","USD",45,"N/A","N/A","Pandasaurus Games","215",1,"Designer of Toy Battle, Libertalia",32,"453913","804031","","0000-00-00","Oct 2026",""
"Railway Boom","Standalone","For Sale","USD",65,"USD",65,"CrowD Games","163",1,"Designer of Bomb Busters along with Simone Luciani",214,"448159","803583","CGA25001","0000-00-00","Q3 2026",""
"Greylune","Standalone","For Sale","USD",39.95,"USD",39.95,"Pandasaurus Games","215",1,"Designer of Caylus",105,"459401","803535","","2026-09-00","",""
"Frosted Blooms","Standalone","For Sale","USD",35,"USD",35,"Synapses Games","Luma Imports: 2841",2,"Bruno Cathala",76,"449853","764883","FB01ENFR","2026-03-00","",""
"Circadia","Standalone","For Sale","USD",18,"USD",18,"Synapses Games","Luma Imports: 2841",2,"Designer of Bomb Busters",25,"454399","773663","CIRC01ENFR","2026-06-00","",""
